PDB,SP_PRIMARY,CHAIN
1B3Z,P56588,A
8EV3,Q9UTE6,3
5YDW,Q7CP75,A
6EFY,Q9W4R3,A
1BOU,P22636,D
5MMJ,P19954,y
3DZT,P18153,A
2QDR,B2J7U5,A
2R8W,Q7D0E8,B
7FBW,Q8RBF4,A
6QV5,B9T8Q5,A
8DQ1,P20581,A
4LP5,Q15109,A
6ID6,P9WFI5,A
5XD6,Q9LUT0,A
7SKM,P81177,C
5H8L,G7ITU5,G
3WJ8,A6BM74,G
8SUU,O06724,A
3D0K,Q7W3B7,B
3UCA,Q8XJE0,A
3E4C,P29466,A
4DI4,O83922,A
7UCW,Q9CQ62,B
2VDJ,Q72X44,A
2VPJ,Q53G59,A
4HYD,A3CWV0,C
4Q7G,A0A0H2WX25,A
2EF0,Q5SJ15,A
7QPL,Q8YI30,A
3DL2,Q8IX04,B
1EGA,P06616,B
1D3Y,Q57815,B
5E53,P14781,A
4F86,D3KYU3,D
4DN0,A0A0H2ZD98,A
3CZQ,Q92SA6,D
3CNY,Q88S37,B
2EFL,Q96RU3,A
5I78,O74706,B
7R5V,Q9BU64,O
6G90,Q00916,B
8PEH,Q8LKX1,A
3O0F,A1A2L3,A
1DGP,Q03471,B
4E15,Q9VMC9,B
3PNN,Q7MXL4,A
8QPJ,K5BDY6,A
4OVR,A7IKQ4,A
1MVH,O60016,A
4CEV,P53608,B
2DEA,Q01693,A
7YME,A0A1M7II12,B
6BBZ,Q47030,A
2P1R,Q8ZNP1,B
4PC9,Q16BC9,A
4Y7D,C8X7A4,A
1DMU,O68557,A
8RRH,Q99623,J
2AAM,Q9X1D0,A
1CPO,P04963,A
8CE0,P02649,A
1Q1K,P60757,A
4Z7R,Q49149,B
9ESI,O60141,p
4NFY,Q76KF5,B
3LKV,Q9KT04,A
7BY6,A5K9S0,A
8A1C,D9Z5Q2,A
1KC3,P26392,A
2H7O,Q05608,A
7T3E,Q6LPV9,B
7X4C,P0DX98,A
5E52,O94779,A
3SWT,B2HD26,A
3Q4Z,Q13153,A
3U1T,Q6DND9,A
4J0F,P34439,A
6Y1X,A0B690,A
2QLU,Q13705,A
4MLJ,Q9PPB4,B
5V85,A7B6P0,A
7XFH,P29372,K
3RAL,P24941,A
3EHB,P08306,B
6KME,Q588D6,A
2W6E,P05631,G
3TX1,Q8Y776,A
1EH4,P40233,B
2PTD,P14262,A
2OCF,P03372,A
5FYP,A0A1S4NYD4,A
2HW1,P50053,A
8G1R,M1R2Y9,E
1SR8,O29535,A
3AXJ,Q9VF77,B
4A26,Q4Q9F9,A
3G5T,P32643,A
2JAX,P9WFD7,A
1KNF,P47228,A
3LCW,P0A6L4,B
7OSN,A0A1S8Y2S4,A
5JCE,Q8H8C7,A
1CI7,P13100,A
3P2M,P71702,A
4M5D,P25368,B
3O59,O57861,X
5AYP,Q08291,A
1QY9,P37757,A
3R5S,Q9RCF6,A
3H0G,P37382,O
2QH5,O24884,A
4EJY,Q8R5T9,A
4K2U,Q8IBE8,A
8Q5Z,P00586,A
3NPY,B2ZB02,A
7VHC,Q7DI68,A
4GLF,C6KFA4,A
1N6C,Q8WTS6,A
1ZC6,Q7NU07,A
8U91,A0A0H3FJT8,D
1YNP,Q9KE47,A
1CCA,P00431,A
3WV6,O00182,A
1H74,Q58504,B
7LB8,P07822,D
6S06,D4Z2G1,A
7O2N,O31822,A
2FHK,Q49610,A
8EAC,Q5SLG6,A
1DQV,P40748,A
6A0W,A3FM73,A
7T34,O80574,A
3EGO,O34661,A
3PUY,P68183,G
1ZPT,P0AEZ1,A
1SM4,Q9M4D2,A
8J7M,R1EKX3,D
8XJP,A0A2P4SYK2,A
4N4P,Q4A6K4,A
4O8V,Q88ND3,A
4ASZ,Q16620,A
2BYD,Q9NRN7,A
1OFW,Q9RN68,A
4YCG,Q9WV56,A
6EFZ,Q9VMN6,A
8AW5,O66543,A
7WMW,A0R6S0,A
8CTR,C9K1F1,A
2JHN,O28163,A
1BO6,P49891,B
1HQ0,Q47106,A
4H54,P31129,A
6PGM,J3S802,A
3ZFM,P29323,A
1IYN,Q8LNY5,A
7QFZ,B7L3Y3,H
1U0L,Q9X242,B
6V4C,A0A1S4K3K8,A
1GCU,P46844,A
7OTS,Q9BV23,A
1P4V,Q47898,C
7AVX,Q12866,A
4QDO,P9WQN9,A
2D06,P50225,A
4CVY,P9WKZ1,B
2A3R,P0DMM9,A
5G6S,Q2TW47,F
8VRW,P04233,C
4JVN,P49888,B
3HUU,Q4L6K9,D
6LZH,A0A6F8RQ06,A
3SI9,Q6G468,A
3HWP,Q4K423,A
3KGB,O62584,A
5ZMY,F1LJ99,D
1EHY,O31243,D
3P8V,Q9V228,A
1BN6,P59336,A
4HTL,Q8Y3R9,A
1AF2,P0ABF6,A
2EHH,O67216,E
1UJQ,Q56062,C
5I1F,A4JT02,A
4YHD,P09616,E
1F6P,P44539,A
1H5R,P37744,A
8AIP,A0AAJ6N646,A
8OE2,P0A3G4,C
1ON6,Q9ES89,A
3KVO,Q6YN16,B
3G9X,P0A3G3,A
6W6V,P38786,I
6JDO,Q9CKB3,A
6J0F,B6VNM9,C
1R4Q,Q9FBI2,A
2UYY,Q49A26,A
1KNV,Q8RT53,B
1G23,Q9HU22,D
9G8P,Q13868,I
3GGG,O67636,B
5YBL,Q5AR34,A
3BHH,Q13554,D
2IQT,P60053,A
8JNN,A0A5J4YN73,A
1QQE,P32602,A
1DUW,Q9XCU0,A
6E0M,P0DSP2,A
6E0O,A0A4V8GZR7,A
6SWU,Q5UE59,A
2OI2,A0A0H2UNK6,A
1EIL,P17297,A
8CRB,G3XD49,C
2PUR,P0A6L2,B
1R8Y,Q9QXF8,F
4H56,A8ULG6,N
1XVA,P13255,A
1IIN,P26393,D
2Y5S,B4E5F5,B
7BLQ,G0S0E6,J
5CM0,A0A0A7GJ30,A
7X0H,A3DCF2,A
3LFT,A0A0H2UPV6,B
4LEF,P45548,D
6S7T,Q14165,I
5HAC,B5TV91,D
3O0G,Q00535,B
6CON,P9WPW1,C
7PAF,A0A0H2UQH5,D
4PM4,L7N6B2,B
5VDK,P0C1S8,A
8HB2,Q8MNT9,D
3TNL,Q8Y9N5,D
1PQ4,P73085,A
9DDY,A0A0H2UQ53,B
3HXP,P37580,A
1XL4,Q2W6R1,B
4HD1,C8WSG3,A
1F89,P49954,B
6OR3,O59952,A
6IJK,Q0K371,A
7Y11,Q8GXC6,B
4XUK,G7GD18,A
4YLM,Q9I1L4,X
6KAC,P12853,o
1EGZ,P07103,C
2IKS,P0ACP1,B
3CUC,Q8A4T4,B
3MBH,Q89ZB9,B
1EOM,P36913,A
6XJH,X5EJW5,D
4BRZ,A0A067XG63,A
4R7O,A0A6L7H2E6,D
6PFN,Q5NHF4,C
6JDC,Q4QP43,A
1WIW,Q5SIM3,B
1A0P,P0A8P8,A
4OQY,M4ZS15,B
4TVI,Q2YKS6,A
4C1R,Q8A183,A
1NAR,Q08884,A
2Q74,P9WKI9,C
3I2W,Q9VDI1,A
6S50,P22629,A
2H63,P53004,B
7XH0,H3SPM3,A
3LHS,A0A0H3K9U6,A
1A7J,P12033,A
1FIW,Q9GL10,A
8TC3,P00459,A
1E5S,O09345,A
8EO7,B5L5W7,B
6OL2,Q9JIH7,A
5CH6,A0A182DWB3,C
2AI2,P55859,A
5NRB,P14769,B
4LFE,B9DUT7,A
1AOD,P34024,A
2GUP,A0A0H2USG4,A
8HPI,A0A8D3X086,A
5DN7,Q6A070,A
2Q7S,Q46VW8,A
3FVE,P9WP19,A
1PRN,P39767,A
6MEL,Q0PAY2,A
8Z9U,A0A832VZ83,A
6W06,Q06187,A
1QZ1,P13596,A
5H7C,P38507,C
1HG2,O55012,A
3C18,B1YK61,A
3DOJ,Q9LSV0,A
8YEB,A0A1L7NQ96,B
2YXG,Q57695,A
1B0A,P24186,A
3C8E,Q46845,B
1NPD,P0A6D5,A
5DZ6,O34825,A
2NUW,Q4JC35,A
5NAN,Q96F46,B
1RPJ,P39265,A
4PBV,F1NWE3,C
2FFJ,O29161,A
8HGV,Q2MHH5,B
4LGM,Q97ZJ7,A
5DTE,A6VKG5,A
1W0C,Q01782,F
1FR8,P08037,B
1H6E,Q96CW1,A
8WJY,Q99640,A
3DOA,A0A0H3JV08,A
6HW5,P21242,F
5UTO,P0A0N2,A
5Z7H,A0A0D1IHL7,D
1U2E,P77044,B
8OW4,Q13469,B
1JKJ,P0AGE9,A
8J6Y,P16897,A
5LX9,Q86V24,A
6KRZ,Q96A54,A
6EF3,P30656,5
1GVN,Q54944,B
3OBI,Q6N2L8,C
3TSG,D3X610,A
3P09,Q5NH60,A
5I20,D7A5Q8,B
8D90,Q9HUP2,A
4R0G,Q5ZYH9,D
6TS9,Q09HD0,B
4RZ2,A4IMB4,B
3TQV,Q5NEY8,A
4X82,L5KLU7,B
3V3S,H2ERK4,B
5XXU,Q8MPF7,A
4RY0,Q2JZQ5,A
5TVL,B1IBE1,A
6AWE,A0A0U3AGT1,A
8PRK,P00817,A
1GZP,P29016,A
5JPD,Q8Y653,A
1X7O,Q9F5K6,A
3TUR,O53223,A
5JGK,Q4X158,A
2X7W,Q9WYJ7,A
1FFV,P19914,F
6NRY,P49662,A
4QFW,A0A3N4BCC7,D
1FIU,P31032,B
1GVF,P0AB74,B
3KJ4,Q99M75,D
6LOV,P16094,A
4LSB,B4EFV2,B
2OG1,P47229,B
4MKI,Q8R7Y5,A
6Q26,Q2G159,D
5GW8,A8PUY5,B
3M70,P45134,A
1Q90,P23577,A
4P1X,Q99RL1,B
6PWP,P0C0S1,B
9BDV,Q04207,B
3LK4,P13127,P
4ZJ2,P62593,A
8WEJ,P14598,C
8RBL,P9WPB1,B
1WG8,Q5SJD8,A
2VLA,A3FMN7,A
2IN6,P30291,A
1EX9,P26876,A
4QXD,C4M633,B
6SLE,Q4WDZ8,F
1F0P,P9WQP1,A
2PL0,P06239,A
3F3Y,Q06520,D
6GNB,Q97EM8,A
5KDR,Q2FXM6,B
1CFR,P56200,A
1C4X,Q75WN8,A
6TD5,A0A504Y5E1,c
2JFN,P22634,A
1C8U,P0AGG2,B
1PHW,P0A715,A
3QQ2,Q45340,C
1O60,P45251,B
6TIK,D3IRF1,B
8OQK,G8UQH1,A
6CIA,A6T7Q7,A
4KZY,G1TGI6,A
7NCC,Q6TV43,B
8A5D,G0SDE9,X
7KO4,P42639,S
8D27,Q8RG18,B
1TKF,P80561,A
6XL2,A0A8I3B048,A
6U0O,Q2FXF4,B
4A5O,Q9I2U6,A
8EFH,P09493,O
3CX3,Q8DQ09,B
1SGJ,Q9RUZ0,B
3TEF,Q9KMU2,A
4AC1,C4RA89,X
1OTJ,P37610,A
9C3T,B4EFK1,A
8SSI,Q63K53,C
1YBV,Q12634,B
1XB2,P43896,B
7EYS,A0A6J4CX17,D
3E9A,A5F692,A
5EUB,Q13126,A
4KL8,P13063,S
3GI1,Q99XV3,B
2VSO,P39935,F
4JWY,Q62645,A
3MMP,P0A6P1,C
4RKQ,A0K1X3,A
3EGB,Q9HAT8,A
2AN3,P11086,A
1GL4,P10493,A
5FLY,A0A2P5JFB2,B
3T9N,Q8R6L9,B
9BSS,O31743,V
1AJ0,P0AC13,A
6EU0,P36121,M
4PKE,A0A061ACU2,A
4GIE,Q4DJ07,A
5W5C,P21707,F
3WZ1,Q6F4N4,A
3L07,Q5NGF3,A
3L6U,B1YL86,B
5V6T,Q9Z0G0,B
1C7D,P69905,A
7VPX,P09012,M
3ZJX,E7D8R1,C
1E25,P37321,A
1F00,P19809,I
9AYT,A0A023DFE8,D
9FJU,P00639,F
3MJG,P09619,X
4I3F,K0C6T6,A
4LWY,P0C0Y8,L
2DAA,P19938,A
5H3W,A4VWG9,B
1DIZ,P04395,A
4GMV,Q70E73,A
6IQL,P51436,A
8ILJ,A0A242MJ43,B
3DTK,C1CZ84,A
6MUQ,A0A0H3NPR7,A
3U0A,B2HN47,A
6RFR,F2Z6D7,G
8J72,Q1PSW8,A
2NXO,Q9L0T8,A
1E2T,Q00267,A
2OO3,Q5ZVZ2,A
1LDF,P0AER0,A
3OA3,E0CX06,A
1DBI,Q45670,A
3ESH,A0A0H3JZW1,A
2EJC,Q9X0G6,A
9HVJ,C7GAN4,A
4C16,P16581,A
1XKQ,Q9N5G4,A
4ZDE,Q05871,C
1EYE,P9WND1,A
2FFI,Q88M75,A
6OEE,P97245,D
3DX5,Q81RQ4,A
2QK7,P0A074,A
6CHK,Q036L9,A
4KMR,D1BJM2,A
7SMH,Q2G2B2,B
3I7A,A1S4A6,A
2CW3,Q8ISI9,B
7SU9,A2BF26,A
7DD0,P42954,A
2DT8,Q5SJQ7,A
2RGY,B2JNW3,A
2F1K,P73906,D
7UNK,P32447,D
1B02,P0CI79,A
5AR1,P32458,A
1GG3,P11171,C
2J14,Q03181,B
4S1M,C4LVZ4,B
5CJ6,P10275,A
1HL7,Q8GJP7,B
8AIR,A0A1W6L438,A
1G8Y,P20356,K
6HBZ,Q6MPU8,A
6C09,P29017,A
2G7Z,P67372,B
7QU0,A6T526,A
1KKU,Q9HAN9,A
1EXW,P45478,A
9F5Y,A8JFK6,t
7VYQ,G8BHG6,F
3MAN,Q9ZF13,A
4W65,K0UYS3,A
5OY4,Q92837,Y
6DZD,A5A677,B
1HG4,P20153,A
4RW5,P0CE82,A
2XHE,A9UTG5,B
5X40,O68106,B
3FOB,A0A6L8NUA5,A
5VUG,P9WLF1,A
4IVN,Q7MD38,B
1DCQ,Q7SIG6,A
8F5A,U6BR87,A
8Z82,A1WXI3,H
2B6N,Q3HUQ2,A
1JXQ,P55211,B
7ZRR,P00749,A
1M9H,P06632,A
4IQ4,P29715,C
3P5S,Q9TTF5,B
5UXY,D0VX07,A
8TNJ,A0A858LJX3,A
6UNV,A0A0F4YFS6,A
1XUB,Q51792,A
3KXP,Q988D4,I
3Q2Y,P39075,A
3G85,Q97DC5,A
7RE7,A0A140T913,D
1BYG,P41240,A
8K2P,A0A166URZ0,B
6BX3,A6ZT27,E
6PAG,P10321,A
4HL0,F1KZZ8,B
4AS4,P29218,A
2DQ7,P06241,X
5VCL,Q31153,A
6EPF,Q9JHW0,2
1DEU,Q9UBR2,A
3BVN,Q56H30,A
7M8U,Q546I9,A
3QRE,B2HQD1,A
5JKQ,C6KSR6,A
6Z5R,O83005,L
3I10,Q8A2Z3,A
1XHL,Q19774,A
1A7U,O31168,B
5A62,K0IM51,A
6V1R,A0A3B8MYE1,A
2JFU,Q3XZW8,A
1CP3,P42574,B
2OXV,P00642,A
6NAX,O70624,A
3S55,B1MLR7,F
3SNG,Q0KFV0,A
7DZN,V6E0U6,A
3U2G,Q8TSG7,A
6BXS,A0A193AUK9,C
1BDB,P47227,A
3FS2,Q8YHF1,A
5IJW,A0R1X0,A
1KJV,Q95565,A
5T57,F8GV06,A
2WSE,C6TEX2,3
6VB4,F4NBQ8,A
5N3U,P07125,A
5SUX,Q7BGC0,A
5NPZ,B1PJV3,A
3JTT,Q30597,D
6Z3E,Q96F15,A
8EK5,F6IR24,A
5FTT,F1LW30,A
6E5B,P28062,K
8RVP,Q05778,7
3GKB,Q82QL3,A
6PYJ,A0A583ZBQ2,A
8WM2,I1ZAZ9,A
5OCQ,P43478,A
1SW1,O29280,A
5H94,A0A0N9JT91,D
5X6S,Q92194,B
7OKY,I3LCH3,C
8ZK2,Q6XBJ7,L
1YU6,P00780,A
2SIC,P00782,E
1GJI,P16236,B
3DAE,P06782,A
8OIE,D5ANJ6,I
6JD6,Q9SQK3,A
7AQQ,Q9FWR5,z
1Y4J,Q8NBJ7,B
1ED3,P16391,D
5AFS,C6XF58,A
1W6F,O86309,B
4M7O,A0A0H2VHB1,A
6JP2,M9SC49,A
4M1E,D5SMY7,A
1DE4,Q30201,A
1A88,P49323,C
2QVP,A1S3H7,A
6FP6,O14618,J
1AF7,P07801,A
1A8Q,P33912,A
8XKE,A0A0G2JL56,A
3M1T,A1SBA1,A
1TE1,Q8L5C6,A
4D6T,P13272,R
1DCI,Q62651,C
7XQS,C6ZK69,A
4CET,P15559,A
1BH6,P00781,A
1KGQ,P56220,A
6UON,C1K0Y1,A
4F47,B2HI06,A
4ZDX,Q5QT35,A
7ZC6,A0A923E755,B
7ZJR,P42257,A
1HYR,Q29983,C
1CSE,B0FXJ2,E
1KYQ,P15807,A
2ZO9,Q6XBH1,B
1HI9,P26902,C
4CAS,P06009,B
2V9G,P32169,A
2Q9H,P44859,A
7ZQI,O98187,A
4YHB,A0A0M3KL21,B
6E5B,P40306,V
9BIZ,A0A0H3GWS2,A
4P1N,W0T9X4,B
1A8S,O31158,A
3DDL,Q2S2F8,B
1T0F,P13988,B
5NC6,Q81EJ6,D
7FDE,Q08952,P
1S31,P50607,A
8J7B,Q9SY97,3
1AE1,P50162,A
1ARZ,P04036,D
6L4L,A0A0H3JU78,A
7TVW,Q9LK01,A
2F43,P35435,G
8EBY,P23025,K
1DXQ,Q64669,D
1SCF,P21583,D
6AMY,Q5DL43,B
8JS5,P23222,G
1XT8,Q0P9S0,B
4U10,A5HJW8,B
7OQZ,Q9NWC5,D
3JUK,O25363,B
8KI3,P36542,G
6PPS,Q2YKK7,D
7Y9C,Q9H1A3,B
3JUU,D7GXF9,A
1EKQ,P39593,A
1TLY,P0A927,A
4MOU,A1RAA6,A
5JJO,Q9HU95,A
3MD7,Q2YQ74,A
7VPF,A0A1R1C9D1,B
4CIS,Q031W6,B
5G2D,W8VZW3,A
3D8U,Q87JL7,B
2HRB,O75828,A
3HU7,B2ZGS7,A
6A2B,Q9TPA7,A
1TDZ,P42371,A
5HAG,B0B9A0,A
6GOS,P23185,C
9ATX,Q9RMX9,A
1ZUW,P94556,C
1ZRH,O14792,A
7N7B,C5ZW02,B
4WK5,B9K6W9,A
2QRU,Q838Q5,A
6WNQ,P0AB98,a
2XSJ,Q93UT0,E
2XP0,Q96EP1,A
1HZO,P52664,B
1H4M,P52197,X
6RIQ,Q9HYZ6,V
4G8B,D2J2T6,B
8CQN,O50805,B
3FBT,Q97KM0,D
5IQK,A0A059Q5E8,A
8Y4Y,A0A7Y0SGI3,A
3QHY,Q93T42,A
1EDT,P04067,A
3VAV,Q2SYZ1,B
1NPY,P44774,B
2XMX,P05820,B
6BXW,A0A140H546,A
1IH8,P08164,B
1DBP,P02925,A
7SNU,A0A0M3PNA2,A
2W99,P24385,A
6LOI,Q831K9,A
4EXA,Q9HUH3,F
1Y5R,P50172,B
2Y1H,Q17R31,B
3AAM,Q5SK18,A
5V7O,C6FX50,A
4Q2G,Q9X1B7,B
1ZBM,O28569,A
6JD5,O05450,B
4CT7,Q92600,B
1JOV,Q9RP27,A
1AK0,P24289,A
1V4N,F9VN03,B
1CNF,P17571,A
7ZK1,P57758,A
1GXS,P52708,C
7MYJ,Q9Y478,D
4CB0,P0AE82,A
2NR0,P07649,D
8RK2,P15927,B
7REI,Q96SZ5,A
3LBA,Q8DTU4,A
1CP2,P00456,A
6AZD,A9SG07,A
2O62,B2J6L8,A
3U6U,Q5SH27,A
6RB3,B1MFK2,A
1AH2,P27693,A
6TI2,A0A0D1DWQ2,B
1P91,P36999,A
3A9E,P10276,B
2R1F,P28306,B
1I1A,P13599,A
3GYQ,P18644,A
6M5Y,P09382,A
5Z7X,A0A0M4AMQ0,A
3GYB,Q8NTY1,A
3IEE,Q5LA60,A
1FW3,P0A921,A
3LLC,B9JYM4,A
1WSD,Q99405,A
1IAV,P29600,A
8FZ6,Q3SX30,c
1I2K,P28305,A
8T0Q,Q8RBT2,A
3MPO,Q03T33,B
3FSG,Q04D10,A
3WWM,O50147,A
4BII,P9WGR1,A
6RPX,Q9Z2L7,A
8TSL,A0A2S5T447,C
1FQY,P29972,A
6RO0,P04977,A
3NS4,P47061,A
4GK8,Q02150,A
1BR6,P02879,A
4I62,A0A0H2ZN67,A
3TSM,Q2YRR4,B
5GL3,B6YTD8,B
5D4U,Q57913,D
1ARB,P15636,A
3IX2,P9WP01,A
1BEU,P00929,A
4JXJ,Q1RK29,A
1G88,Q13485,A
5NXX,P46922,C
6AHR,P78346,I
6TL8,Q80XU8,D
8JC1,C6DJ69,D
1AKO,P09030,A
5W95,O53581,A
2GZM,A0A6L8PKK6,D
4MI2,B1MJ43,B
1DY6,P52682,B
3WE9,O06728,A
3G40,Q8THK8,A
8WAG,Q9LI74,A
2Z4G,Q5SLG2,B
7CBK,P08246,B
6EI6,Q9VKJ9,B
8I21,P38632,C
5H6N,Q9U8Q4,B
8Q66,P34607,A
5F83,Q0Z8S4,A
6L7M,A0A4Q4UBE4,C
6CLV,O05701,B
1ABR,P11140,B
6BN3,A0A077KT80,A
5W15,B1YPY7,B
7EBX,A0A8M0FGR8,A
3BYD,P22391,A
1DQX,P03962,D
6EJX,O35930,A
7WZN,Q75VY9,3
3C98,P32851,B
3E0I,O66496,A
4G8P,P06762,A
6MFH,Q1QUN7,A
3JCU,P12333,y
1Z7L,Q02053,B
8PH2,Q9XAY4,A
5IPZ,P22748,D
4Y61,Q810C0,B
6R1J,A0KLE2,J
1BSG,P14559,A
3GXA,Q7BMQ8,F
6D4G,P81128,B
4BJA,Q09514,A
4CR4,P30657,7
2WU1,P0A759,A
3BB1,Q41009,H
6FSF,P32873,A
1HWP,Q9AVR2,B
1E3D,Q9L869,C
4UEG,O15488,B
3FPE,O26771,A
3CS3,Q835X8,A
4NSY,Q7M135,B
1EE8,O50606,B
8VRW,P01911,H
8B49,P00772,A
7OUI,Q39142,5
6SKP,Q7BNC2,B
6NB0,B2JQF9,A
2A6T,O13828,B
4UPE,P18187,A
1BDA,P00750,B
8HTU,A9RT62,W
1ISM,Q10588,B
7CH8,Q9HVW2,H
3RFT,Q7CRQ0,C
7LB8,P07821,U
1WVV,O50152,B
1BUL,P52663,A
8JAT,P0CR36,A
2PQG,P25891,B
4XIJ,K0V1M6,A
8Q70,Q8U2C1,A
1YIX,P0AFQ7,A
3MYB,A0QST4,B
5DYE,P55064,A
1A5I,P98119,A
3KHI,A6TB83,A
1C8Z,P50586,A
4A5R,P94458,A
1RQN,O31156,B
5LLK,Q14118,A
4G97,Q2YRH9,A
7U6H,A0A0F4XRB2,D
7NPI,Q8NBR6,k
4JCS,Q1LBW6,A
1FRV,P12943,A
2E67,Q53WD3,F
8QYM,Q969U7,J
3BGX,P0A884,A
4KZZ,G1TN72,B
6AUJ,A0A077EAN3,C
1O54,Q9WZK7,A
4UMM,Q7SIF6,F
4IV8,A0A384KJX3,B
4MAT,P0AE18,A
7C8G,A0A7M4DUG9,A
1APA,Q03464,A
3IX6,P67042,B
4JDY,P9WII9,A
5XVQ,F7ERX8,B
3GFO,Q0TUN8,A
1D8V,P24817,A
6TUT,P41910,R
2AG8,Q9K1N1,A
1HYQ,O29562,A
4OPY,Q9AGJ5,A
5W90,Q9K578,A
3MDN,Q5LRU5,C
1YMG,P06624,A
7LTE,Q8EGW3,C
2HW5,P30084,F
3B00,Q9WXN1,C
8XNV,Q9DCT2,C
1FIZ,P08001,A
4Y4N,F6BCS4,B
3PKM,Q8U1S4,X
5H5X,Q9KYM4,F
6O09,Q9M7Q7,K
5KLI,Q02760,P
7T69,Q709D8,A
3BFD,Q93PQ0,B
1BCS,P08819,A
8YAL,Q23192,I
3OM8,Q9I638,B
1PAF,P10297,A
3O38,A0R4Z8,A
2H3G,Q81VX4,X
1B9M,P0A9G8,B
5ED8,Q8BJS4,A
1XRS,E3PRJ4,B
4EGF,A0QXD6,G
1O68,Q9JZW6,A
2V5K,Q47098,B
4EQY,Q2SWY6,E
1EP3,P56968,B
1I2Z,P0AEK4,A
3QKC,Q6QLV2,B
2OGY,Q46389,B
7QJO,A0A1T4KK94,A
2EKC,O67502,B
5VN9,P02945,A
1P99,A0A0H3JTG5,A
1SKF,P39042,A
1H5Q,O93868,K
4X69,Q47066,B
6UF3,P96499,A
5HC7,A0A140UHQ1,A
1EF8,P52045,B
1TJR,P42390,B
4MB0,B6YXQ1,A
1RC6,P75713,B
5VBB,Q9UJJ7,A
3WT5,P13053,A
7AQO,O13539,J
2IXG,P36370,A
1SQN,P06401,A
1G6W,P23202,C
2DUB,P14604,F
3GMW,A5PHA6,C
1E3S,O70351,D
6UAW,A0A1Y6JJH6,A
6FW5,P9WQD4,D
6XT6,P02866,B
8IL8,A0A0A2N3A3,A
3HR0,Q9H9E3,B
1GEE,P40288,F
4CR4,P25043,2
1J1Q,P23339,A
8UI9,P12004,H
4JUQ,Q9HXY1,B
8OKI,Q8U0E4,D
6HWZ,P00915,A
3JAM,Q6CWJ2,E
1W4Z,P16544,A
2OZ1,Q939U1,A
3ADR,Q970L2,A
6FIE,P05937,B
3WDK,Q5JIZ8,B
3NEI,O68100,A
1PV5,P96719,A
4ZDM,H6S0J1,A
7CH0,P64606,A
2YV7,Q9VY78,A
2II5,P11181,H
3EGE,Q3M5R2,A
3DTS,P0C0Y7,H
8GZD,D1A9G5,A
6M5N,A0A1B3EB36,A
5AZD,H9ZSC3,A
5ZRS,W0TJ64,A
8HQR,Q4FLC2,B
5HCF,Q4CPZ0,D
1YPZ,Q9BCZ1,C
5FLS,P00918,A
4CR4,P32379,E
4CNR,P00921,D
7WMG,P10828,A
3CU0,O94766,B
1R3H,Q31206,G
1G60,P23192,B
4DUN,Q186X0,A
9GWV,P0DOV5,B
6B9V,Q1INB9,B
2F4N,Q59045,B
1C16,Q31615,E
5ECG,Q12888,C
7C4D,A0A2S1GUX0,A
1GV9,Q62902,A
3ZSF,Q5F9M1,C
1N4H,P45446,A
5EKY,P0A6L0,A
5VPS,B1YU47,A
4KT6,A0A0H2UTN5,C
1FLJ,P14141,A
4YFM,B1MCI3,B
3SJU,Q67G28,B
3ZWO,P29241,D
5VYS,F8WJP6,B
4FIL,A0A0H3JWU6,D
7LNU,M9SEQ1,A
3OME,A0R1R4,A
1ZZM,P39408,A
3WTC,Q5FPC4,A
2H6J,Q53080,G
6RV4,O14649,D
4B5G,Q7DD47,A
3BY9,Q9KQS3,B
1CBY,Q04470,A
5UFA,B4RLY3,C
3G6S,A6KY15,A
4K2N,Q2W7Q6,A
3QZ6,B8FRX2,A
2UWM,Q2RFK4,A
4NQI,C7FZZ0,D
7EOA,A0A2H5Z9R5,A
8VDX,A0AAI9NE89,B
4W7I,A0A096LNF1,D
3G7F,P06008,H
1B0U,P02915,A
1ZRT,P0CY49,Q
1E6V,Q49604,C
1YBF,Q7MVU1,C
7A5P,Q14331,x
1UB0,Q7SIA0,A
2HO4,Q3UGR5,A
4QZ2,P23638,B
7OK2,Q9X6P4,C
1E89,P52705,A
4IUS,D2PUG5,A
1A8P,Q44532,A
5XZD,A3SKA6,E
5DG3,A6V1E4,F
2PBP,Q5KYB2,A
2WXB,P0A6C8,A
3PK0,A0QQJ6,D
7UY4,P0AG05,B
4Y9A,Q9Z520,D
3PEA,A0A6L7GYV0,C
2B7U,P84786,A
1B54,P38197,A
2AXC,Q47112,A
4XXU,P37329,B
5MLD,K4REZ6,A
4JOT,Q9RY37,A
8A1U,P0C6E0,C
5J8N,Q8PSD1,A
2ODF,A9CI91,H
7JK6,Q9Y1B2,F
7U5Q,C0RLW1,B
1GAJ,Q58663,A
8OT2,Q84G21,A
1OSP,P0CL66,O
1S9A,O67987,B
8Z0T,P12319,A
4RSX,Q87UE5,A
2PW9,Q6AMB9,D
3F4K,Q8A3I2,A
3MNE,P06537,A
7TWA,F8JJ25,A
1EKU,P01579,B
1SZO,Q93TU6,K
2YR1,Q5KY94,B
5YAS,P52704,A
1FK8,P80702,B
7E3Z,A0A494V3J7,A
7EZZ,P0A232,B
6WGR,P00807,C
3HP0,P40805,C
3VN5,O67644,A
5NNB,A0P0F0,D
7UNO,Q6NJK4,A
2E18,O57921,B
6JYY,A6TBJ8,A
7DZ7,Q93VE0,Z
